Amateur radio
Audiophilia
Aquarium keeping
Baking
Baton twirling
Basket weaving
Bonsai
Computer programming
Cooking
Creative writing
Crocheting
Dance
Drawing
Embroidery
Basketball
Gardening
Genealogy
Jewelry making
Knapping
Lapidary
Locksport
Musical instruments
Painting
Punch needle rug making
Knitting
Reading
Scrapbooking
Sculpting
Sewing
Singing
Sleeping
Watching movies
Watching television
Videogames
Woodworking
Origami
Air sports
Board sports
Cycling
Freerunning
Hunting
Hiking
Jogging
Kite ﬂying
Kayaking
Motor sports
Mountain biking
Parkour
Playing with a pet
Photography
Rock climbing
Running
Sailing
Sand castle building
Sculling or Rowing
Skating
Surﬁng
Swimming
Tai chi chuan
Conservation and restoration of road vehicles
Water sports
Yoga
Antiquing
Art collecting
Coin collecting
Element collecting
Stamp collecting
Vintage books
Vintage clothing
Record collecting
Trading Cards collecting
Bread tag collecting
Crayon collecting
Antiquities
Auto audiophilia
Fossil hunting
Insect collecting
Leaf collecting and pressing
Metal detecting
Mineral collecting
Petal collecting and pressing
Rock collecting
Seaglass collecting
Seashell collecting
Wrestling
Bowling
Boxing
Chess
Cheerleading
CubingBridge
Billiards
Darts
Fencing
Gaming
Handball
Martial arts
Table football
Airsoft
American football
Archery
Association football
Auto racing
Badminton
Baseball
Basketball
Climbing
Cricket
Cycling
Disc golf
Equestrianism
Figure skating
Fishing
Foot-bag
Golﬁng
Gymnastics
Ice hockey
Kart racing
Netball
Paintball
Racquetball
Rugby league football
Running
Shooting
Squash
SurﬁngSwimming
Table tennis
Tennis
Volleyball
Microscopy
Reading
Shortwave radios
Amateur astronomy
Amateur geology
Bird watching
College football
Geocaching
Meteorology
Parkour
People watching
Travel
